"Buenos Aires","25 de mayo","Veinticinco De Mayo"
"Buenos Aires","9 de julio","Nueve De Julio"
"Buenos Aires","Almirante Brown",Burzaco
"Buenos Aires","Almirante Brown",Claypole
"Buenos Aires","Almirante Brown","Don Orione"
"Buenos Aires","Almirante Brown",Glew
"Buenos Aires","Almirante Brown","José Marmol"
"Buenos Aires","Almirante Brown",Longchamps
"Buenos Aires","Almirante Brown","Malvinas Argentinas"
"Buenos Aires","Almirante Brown","Ministro Rivadavia"
"Buenos Aires","Almirante Brown","Rafael Calzada"
"Buenos Aires","Almirante Brown","San José"
"Buenos Aires","Almirante Brown",Solano
"Buenos Aires",Arrecifes,Arrecifes
"Buenos Aires",Avellaneda,Avellaneda
"Buenos Aires",Avellaneda,Crucecita
"Buenos Aires",Avellaneda,"Dock Sud"
"Buenos Aires",Avellaneda,Gerli
"Buenos Aires",Avellaneda,"Piñeyro"
"Buenos Aires",Avellaneda,"Sarandí"
"Buenos Aires",Avellaneda,"Villa Domínico"
"Buenos Aires",Avellaneda,Wilde
"Buenos Aires",Avellaneda,"Zona De Reserva"
"Buenos Aires",Azul,Azul
"Buenos Aires","Bahía Blanca","Bahía Blanca"
"Buenos Aires","Bahía Blanca","General Daniel Cerri"
"Buenos Aires","Bahía Blanca","Ingeniero White"
"Buenos Aires",Balcarce,Balcarce
"Buenos Aires",Baradero,Baradero
"Buenos Aires",Berazategui,"Berazategui Oeste"
"Buenos Aires",Berazategui,"Centro Agrícola El Pato"
"Buenos Aires",Berazategui,"Guillermo Hudson"
"Buenos Aires",Berazategui,"Gutiérrez"
"Buenos Aires",Berazategui,Pereyra
"Buenos Aires",Berazategui,"Plátanos"
"Buenos Aires",Berazategui,Ranelagh
"Buenos Aires",Berisso,Berisso
"Buenos Aires",Berisso,"El Carmen"
"Buenos Aires",Berisso,"Los Talas"
"Buenos Aires",Berisso,"Villa Progreso"
"Buenos Aires",Bragado,Bragado
"Buenos Aires",Brandsen,Brandsen
"Buenos Aires",Campana,Campana
"Buenos Aires",Campana,"Ingeniero Otamendi"
"Buenos Aires","Capitán Sarmiento","Capitán Sarmiento"
"Buenos Aires","Carlos Casares","Carlos Casares"
"Buenos Aires","Carmen de Areco","Carmen De Areco"
"Buenos Aires",Castelli,Castelli
"Buenos Aires","Cañuelas","Cañuelas"
"Buenos Aires","Cañuelas","Máximo Paz"
"Buenos Aires",Chacabuco,Chacabuco
"Buenos Aires","Chascomús","Chascomús"
"Buenos Aires",Chivilcoy,Chivilcoy
"Buenos Aires","Coronel Dorrego","Coronel Dorrego"
"Buenos Aires","Coronel de Marina Leonardo Rosales","Punta Alta"
"Buenos Aires",Dolores,Dolores
"Buenos Aires",Ensenada,"El Dique"
"Buenos Aires",Ensenada,Ensenada
"Buenos Aires",Ensenada,"Punta Lara"
"Buenos Aires",Escobar,Escobar
"Buenos Aires",Escobar,"Garín"
"Buenos Aires",Escobar,"Ingeniero Maschwitz"
"Buenos Aires",Escobar,"Maquinista Savio"
"Buenos Aires",Escobar,Matheu
"Buenos Aires","Esteban Echeverría","El Jagüel"
"Buenos Aires","Esteban Echeverría","Luis Guillón"
"Buenos Aires","Esteban Echeverría","Monte Grande"
"Buenos Aires","Esteban Echeverría","Nueve De Abril"
"Buenos Aires","Exaltación de la Cruz","Arroyo De La Cruz"
"Buenos Aires","Exaltación de la Cruz","Los Cardales"
"Buenos Aires","Exaltación de la Cruz","Pavón"
"Buenos Aires","Exaltación de la Cruz",Robles
"Buenos Aires","Florencio Varela",Bosques
"Buenos Aires","Florencio Varela","Estanislao Severo Zeballos"
"Buenos Aires","Florencio Varela","Florencio Varela"
"Buenos Aires","Florencio Varela","Gobernador Costa"
"Buenos Aires","Florencio Varela","Ingeniero Allan"
"Buenos Aires","Florencio Varela","La Capilla"
"Buenos Aires","Florencio Varela","Santa Rosa"
"Buenos Aires","Florencio Varela","Villa Brown"
"Buenos Aires","Florencio Varela","Villa San Luis"
"Buenos Aires","Florencio Varela","Villa Vatteone"
"Buenos Aires","General Alvarado",Miramar
"Buenos Aires","General Juan Madariaga","General Juan Madariaga"
"Buenos Aires","General Pueyrredón","Batán"
"Buenos Aires","General Pueyrredón","Estación Chapadmalal"
"Buenos Aires","General Pueyrredón","Mar Del Plata"
"Buenos Aires","General Pueyrredón","Sierra De Los Padres"
"Buenos Aires","General Rodríguez","General Rodríguez"
"Buenos Aires","General San Martín","Bíllinghurst"
"Buenos Aires","General San Martín","José León Suárez"
"Buenos Aires","General San Martín","Loma Hermosa"
"Buenos Aires","General San Martín","San Andrés"
"Buenos Aires","General San Martín","Villa Ayacucho"
"Buenos Aires","General San Martín","Villa Ballester"
"Buenos Aires","General San Martín","Villa Granaderos De San Martín"
"Buenos Aires","General San Martín","Villa Libertad"
"Buenos Aires","General San Martín","Villa Lynch"
"Buenos Aires","General San Martín","Villa Maipú"
"Buenos Aires","General Viamonte","Los Toldos"
"Buenos Aires","General Villegas","General Villegas"
"Buenos Aires",Hurlingham,Hurlingham
"Buenos Aires",Hurlingham,"Villa Tesei"
"Buenos Aires",Hurlingham,"William Morris"
"Buenos Aires","Ituzaingó","Ituzaingó"
"Buenos Aires","Ituzaingó","Ituzaingó Norte"
"Buenos Aires","Ituzaingó","Villa Gobernador Udaondo"
"Buenos Aires","José C. Paz","José C. Paz"
"Buenos Aires","José M. Ezeiza","Carlos Spegazzini"
"Buenos Aires","José M. Ezeiza",Ezeiza
"Buenos Aires","José M. Ezeiza","La Unión"
"Buenos Aires","José M. Ezeiza","Tristán Suárez"
"Buenos Aires","Junín","Junín"
"Buenos Aires","Junín",Morse
"Buenos Aires","La Costa","Mar De Ajó"
"Buenos Aires","La Costa","Mar Del Tuyú"
"Buenos Aires","La Costa","San Bernardo"
"Buenos Aires","La Costa","San Clemente Del Tuyú"
"Buenos Aires","La Costa","Santa Teresita"
"Buenos Aires","La Matanza","Aldo Bonzi"
"Buenos Aires","La Matanza","Ciudad Evita"
"Buenos Aires","La Matanza","Ciudad Madero"
"Buenos Aires","La Matanza","González Catán"
"Buenos Aires","La Matanza","Gregorio De Laferrere"
"Buenos Aires","La Matanza","Isidro Casanova"
